score,n_estimater,criteria,max_feture ,Random_state
0.8029506907510655,79,absolute_error,sqrt,71
0.8020502895812104,79,absolute_error,log2,71
0.7926775853858663,80,absolute_error,log2,70
0.7991025681733261,81,absolute_error,log2,69
0.7961582047788381,81,absolute_error,sqrt,69
0.7892936107991989,82,absolute_error,log2,68
0.7886713707127444,82,absolute_error,sqrt,68
0.7593974121119756,83,absolute_error,sqrt,67
0.7591617604024715,83,absolute_error,log2,67
0.7820755589748695,84,absolute_error,sqrt,66
0.7773591408612661,84,absolute_error,log2,66
0.7998910456548869,85,absolute_error,sqrt,65
0.8028403926452972,85,absolute_error,log2,65
0.7798141608780744,87,absolute_error,sqrt,63
0.7772220958310965,86,absolute_error,log2,64
0.7738032173970757,86,absolute_error,sqrt,64
0.7387356534507222,88,absolute_error,log2,62
0.7395658375254965,88,absolute_error,sqrt,62
0.7787321975181237,87,absolute_error,log2,63
0.7650405222969138,90,absolute_error,sqrt,60
0.7732099598403546,89,absolute_error,sqrt,61
0.7736785174485921,89,absolute_error,log2,61
0.7693605740511673,92,absolute_error,log2,58
0.7697012357404788,92,absolute_error,sqrt,58
0.7663744834104218,90,absolute_error,log2,60
0.7960733283482713,91,absolute_error,sqrt,59
0.7976083218372223,91,absolute_error,log2,59
0.7918255929840463,93,absolute_error,sqrt,57
0.79482218774993,93,absolute_error,log2,57
0.7793874375164151,95,absolute_error,sqrt,55
0.8044713015147771,94,absolute_error,sqrt,56
0.8036105993751783,94,absolute_error,log2,56
0.7790664747620858,95,absolute_error,log2,55
0.7655370947122551,96,absolute_error,log2,54
0.7777695229813257,97,absolute_error,sqrt,53
0.7397533030954642,98,absolute_error,log2,52
0.7649596648391928,96,absolute_error,sqrt,54
0.7755883296655213,97,absolute_error,log2,53
0.7421308192797631,98,absolute_error,sqrt,52
0.791026266550538,99,absolute_error,sqrt,51
0.7907085148340779,99,absolute_error,log2,51
0.8045386609018522,100,absolute_error,log2,50
0.8025279610248692,100,absolute_error,sqrt,50
0.7363138765743633,50,absolute_error,,100
0.7490465873317858,51,absolute_error,,99
0.7579960517146476,52,absolute_error,,98
0.7602954040558392,53,absolute_error,,97
0.8136082702801476,54,absolute_error,,96
0.7691851506433526,55,absolute_error,,95
0.8087012778892191,56,absolute_error,,94
0.7914554595072666,57,absolute_error,,93
0.7721272454015224,58,absolute_error,,92
0.767480885397742,59,absolute_error,,91
0.7842828904781715,60,absolute_error,,90
0.7698479082009518,61,absolute_error,,89
0.7776105501240285,62,absolute_error,,88
0.7908506481210923,63,absolute_error,,87
0.7892098973104882,64,absolute_error,,86
0.7305538492124699,65,absolute_error,,85
0.7352510363630649,66,absolute_error,,84
0.7845488252913109,67,absolute_error,,83
0.7697422912999463,68,absolute_error,,82
0.756778152285332,69,absolute_error,,81
0.7733692534651097,70,absolute_error,,80
0.7717856478583328,71,absolute_error,,79
0.7449373229401133,72,absolute_error,,78
0.8028428004869407,73,absolute_error,,77
0.7537330373123745,74,absolute_error,,76
0.77997511709005,75,absolute_error,,75
0.7568012468514855,76,absolute_error,,74
0.7594058749438326,77,absolute_error,,73
0.7589933663647132,78,absolute_error,,72
0.7989818120363712,80,absolute_error,,70
0.7927521661258645,79,absolute_error,,71
0.7906992458126509,81,absolute_error,,69
0.7788664836402591,82,absolute_error,,68
0.7681714828544692,84,absolute_error,,66
0.7568401670463121,83,absolute_error,,67
0.7893934632123305,85,absolute_error,,65
0.7808508558586277,86,absolute_error,,64
0.7327119569871987,88,absolute_error,,62
0.7725417402713468,87,absolute_error,,63
0.7736756047554896,89,absolute_error,,61
0.7518136514051599,90,absolute_error,,60
0.7922755321944799,91,absolute_error,,59
0.7713891599507158,92,absolute_error,,58
0.8066352745835589,94,absolute_error,,56
0.7954483023935979,93,absolute_error,,57
0.7676772449215672,95,absolute_error,,55
0.7676471372252074,96,absolute_error,,54
0.762903411397884,97,absolute_error,,53
0.7286406726762062,98,absolute_error,,52
0.7800904265908815,99,absolute_error,,51
0.8026757593506841,100,absolute_error,,50
